2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:77 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:77 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:78 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:78 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:80 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:80 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:80 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:83 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:84 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:85 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:85 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:86 networkType:TcpListen connect type:None value:0[0m
